WKT,D_NOP
"MULTIPOLYGON (((110.820130290384 -7.57659201276654,110.820251482379 -7.57661956170631,110.820246215903 -7.5766402741651,110.820124299051 -7.57661182035525,110.820130290384 -7.57659201276654)))","337202000600402240001"
"MULTIPOLYGON (((110.820142907582 -7.57655248830775,110.82014908082 -7.57653123348323,110.820267826699 -7.57655507267461,110.820261561764 -7.57657886025656,110.820142907582 -7.57655248830775)))","337202000600402230001"
"MULTIPOLYGON (((110.820747354796 -7.57662193706206,110.820788144949 -7.57663118045509,110.820765350523 -7.57672904545399,110.820721478674 -7.57671853439325,110.820747354796 -7.57662193706206)))","337202000600402250001"
"MULTIPOLYGON (((110.820315073196 -7.57607856515694,110.820370999328 -7.57609514184236,110.820356112688 -7.57614226375397,110.820300821947 -7.57612369727664,110.820315073196 -7.57607856515694)))","337202000600402200001"
"MULTIPOLYGON (((110.821518772874 -7.57650203666178,110.821543473888 -7.57639675493223,110.8217369937 -7.57645716895322,110.821717373141 -7.57655313571177,110.821518772874 -7.57650203666178)))","337202000600402210001"
"MULTIPOLYGON (((110.821923028729 -7.5750971347801,110.821985842867 -7.57511751326427,110.821937650292 -7.57525354078069,110.821877194118 -7.57523072091662,110.821923028729 -7.5750971347801)))","337202000600302500001"
"MULTIPOLYGON (((110.81785761133 -7.57659640511231,110.81792930771 -7.57662103936993,110.817892728066 -7.57673147194885,110.817824205902 -7.57670358256449,110.81785761133 -7.57659640511231)))","337202000600202740001"
"MULTIPOLYGON (((110.819017770283 -7.57534451291587,110.819093818891 -7.57536670645171,110.819080744445 -7.57541563820957,110.819005330664 -7.57539281173674,110.819017770283 -7.57534451291587)))","337202000600203030001"
"MULTIPOLYGON (((110.820080235145 -7.57509782479767,110.820136070751 -7.57511376827506,110.820092689414 -7.57523242983296,110.820045011585 -7.57521884160005,110.820080235145 -7.57509782479767)))","337202000600203020001"
"MULTIPOLYGON (((110.820018688746 -7.57508106484127,110.820074615188 -7.5750965560794,110.820038031307 -7.57521883871609,110.819984008487 -7.57520352917359,110.820018688746 -7.57508106484127)))","337202000600201150001"
"MULTIPOLYGON (((110.819961493354 -7.57506512078694,110.820013612895 -7.57507934406246,110.819976575733 -7.57520162650643,110.819926903283 -7.57518867063473,110.819961493354 -7.57506512078694)))","337202000600203010001"
"MULTIPOLYGON (((110.819904207878 -7.57504781983424,110.819955239354 -7.57506258540826,110.819921192372 -7.57518812553221,110.819871610842 -7.57517453649347,110.819904207878 -7.57504781983424)))","337202000600203000001"
"MULTIPOLYGON (((110.81974711581 -7.57546123340772,110.819801774238 -7.57547410090627,110.819775175087 -7.5755650895553,110.819721241383 -7.57555339829304,110.81974711581 -7.57546123340772)))","337202000600201450001"
"MULTIPOLYGON (((110.819689284793 -7.5754477313906,110.819740136581 -7.57545869772576,110.819711814258 -7.57555149479578,110.819662685432 -7.57553917231684,110.819689284793 -7.5754477313906)))","337202000600203060001"
